date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:26	67341/67341	---M--	200	added ('OK')	image/png	etag:%2207a40973c6708196df28829f13a06ca9-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/2.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/2.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:27	16804/16804	---M--	200	added ('OK')	image/png	etag:%223a76b4cd54359bbcead6db8d68beb241-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/10.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/10.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:27	25820/25820	---M--	200	added ('OK')	image/png	etag:%22a6ba8a1fdbf8931e700bc7ee4dcf9f0f-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/1.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/1.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:28	10120/10120	---M--	200	added ('OK')	image/png	etag:%224a4af9002096fedd3e2533d13b1f79a5-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/5.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/5.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:28	49493/49493	---M--	200	added ('OK')	image/png	etag:%22dc67aee1837fbccd5a93026521d467b8-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/6.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/6.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:29	20727/20727	---M--	200	added ('OK')	image/png	etag:%220e574d119fc4ce8672846db0e58bc9df-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/7.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/7.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:29	9597/9597	---M--	200	added ('OK')	image/png	etag:%227f24530df909995cfe84f92bca9e11b9-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/8.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/8.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:29	22530/22530	---M--	200	added ('OK')	image/png	etag:%2274d5f25ea2c062b6b649769c3fe2d445-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/9.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/9.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:30	46868/46868	---M--	200	added ('OK')	image/png	etag:%2258ac42e8324352f359bab11072588ab5-ssl%22	https://dcloudkitchens.netlify.app/assets/brand/3.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/brand/3.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:31	138784/138784	---M--	200	added ('OK')	image/jpeg	etag:%22b8d697806e7e3a1037ce2c20979bf180-ssl%22	https://dcloudkitchens.netlify.app/assets/images/why-bg.jpeg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/images/why-bg.jpg	(from https://dcloudkitchens.netlify.app/index.html)
20:48:31	19213/19213	---M--	200	added ('OK')	image/png	etag:%22c0684d0d955cf6c8457f8bbf429adcea-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/placeholder.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/placeholder.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:31	8521/8521	---M--	200	added ('OK')	image/png	etag:%22977474d8a803865e8c2717a6083107d7-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/mail.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/mail.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:32	11726/11726	---M--	200	added ('OK')	image/png	etag:%22f145efded92ea2ac2cba90904810c9fb-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/phone-call.png	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/phone-call.png	(from https://dcloudkitchens.netlify.app/index.html)
20:48:32	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	D:/front-endtraining/html-lessons/html-lesson/kitchen/unpkg.com/aos@2.3.1/dist/aos.js	(from https://dcloudkitchens.netlify.app/index.html)
20:48:33	94753/94753	---MCZ	200	added ('OK')	application/javascript	etag:%22305c77675276a72c50620a7b71cfbec3-ssl-df%22	https://dcloudkitchens.netlify.app/assets/script.min.js	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/script.min.js	(from https://dcloudkitchens.netlify.app/index.html)
20:48:33	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676115356-ssl-df	https://dcloudkitchens.netlify.app/iconset/arrow.svg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/iconset/arrow.2a.delayed	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:34	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676115356-ssl-df	https://dcloudkitchens.netlify.app/iconset/external.svg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/iconset/external.2b.delayed	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:34	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676115356-ssl-df	https://dcloudkitchens.netlify.app/iconset/info.svg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/iconset/info.2c.delayed	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:35	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676115356-ssl-df	https://dcloudkitchens.netlify.app/iconset/quote.svg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/iconset/quote.2d.delayed	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:35	8069/8069	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Dec%202021%2009:53:06%20GMT	https://d1l5pp53ux74mz.cloudfront.net/images/default-source/backgrounds/brand-refresh-q4-2021/hex_left_hero_1920_transperant-min.png?status=Temp	D:/front-endtraining/html-lessons/html-lesson/kitchen/d1l5pp53ux74mz.cloudfront.net/images/default-source/backgrounds/brand-refresh-q4-2021/hex_left_hero_1920_transperant-mindbe8.png	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:35	34444/34444	---M--	200	added ('OK')	image/jpeg	etag:%22b2dc803dc26386e446c94cd3862c49af-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/bg1.jpeg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/bg1.jpg	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:36	31805/31805	---M--	200	added ('OK')	image/jpeg	etag:%2270ab854eccd9b2dd2a50998664696974-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/bg2.jpeg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/bg2.jpg	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:48:37	27647/27647	---M--	200	added ('OK')	image/jpeg	etag:%22e89b43ab7449bbc64ca7e6054fded250-ssl%22	https://dcloudkitchens.netlify.app/assets/icon/bg3.jpeg	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/icon/bg3.jpg	(from https://dcloudkitchens.netlify.app/assets/style.min.css)
20:49:22	88073037/88073037	UR-M--	200	added ('Partial%20Content')	video/mp4	etag:%22aa12d122b5aeb34e71409e4146712cc6-ssl%22	https://dcloudkitchens.netlify.app/assets/video/video.mp4	D:/front-endtraining/html-lessons/html-lesson/kitchen/dcloudkitchens.netlify.app/assets/video/video.mp4	(from https://dcloudkitchens.netlify.app/index.html)
